1872,4738,-377,7380
1879,5586,-384,7229
1742,5492,-348,7325
1895,5458,-374,7292
1145,5448,-366,7377
1064,5403,-378,7405
1782,5425,-287,7326
1801,5462,-289,7377
1751,5444,-402,7320
1724,5430,-297,7289
1067,5451,-363,7190
1278,5469,-388,7283
1811,5397,-309,7321
1914,5571,-324,7346
1065,5399,-274,7267
1845,4699,-320,7230
1841,5476,-323,7255
1749,5471,-212,7135
1205,5543,-258,7401
1249,5425,-268,7336
1882,4741,-352,7297
1296,5695,-222,7357
1309,5573,-302,7263
2120,5591,-226,7232
2033,5435,-259,7182
1327,5489,-348,7275
1887,5454,-265,7166
1832,5516,-230,7381
1317,4676,-316,7281
1779,5376,367,7237
1971,5453,-336,7181
1939,5490,-298,7349
1727,5490,-447,7215
2009,4612,-328,7205
1786,5606,-284,7347
1918,5358,381,7209
1808,5432,-411,7257
1702,5451,-417,7161
1660,5379,-396,7202
1705,5413,-341,7122
1074,5372,-221,7300
1900,4723,-325,7275
1228,5374,-309,7199
1985,5510,-227,7310
1812,5498,-207,7375
1486,5503,-314,7192
1113,5360,-411,7209
1873,5396,-319,7250
1411,5444,-164,7265
1418,5579,-224,7361
1939,5396,-190,7164
1989,5396,-294,7320
1999,5584,-260,7370
1907,5417,-261,7322
1194,5489,-274,7248
2036,5427,-294,7173
1102,5291,-340,7156
1823,5490,-369,7249
1931,5433,-214,7243
1210,4802,-176,7328
1101,4731,-126,7160
1814,5559,-73,7267
1836,5502,-102,7200
1978,5611,-162,7417
1852,5462,-295,7146
1299,5483,-253,7235
1822,5473,-242,7296
1222,5454,-224,7254
1888,5305,-300,7091
1233,5385,-322,7270
1334,5439,-240,7243
1315,5491,-236,7300
1936,5439,-281,7203
1236,5334,-273,7214
1882,5293,-316,7138
1370,5385,-313,7322
1901,5411,-322,7209
2040,5472,-255,7184
1404,5475,-206,7369
1967,4634,-285,7272
1365,5508,-163,7317
1290,4673,-285,7194
1709,5501,-188,7191
1936,5640,-382,7238
1852,5452,-288,7085
1162,5479,-350,7328
1872,4714,-334,7350
1159,5592,-299,7294
1896,5436,-404,7332
1839,5486,-406,7230
1298,5485,-248,7221
1723,5355,-329,7273
1255,5475,-373,7318
1316,5417,-329,7312
1348,4675,-356,7173
1442,5294,-385,7070
1435,5486,-348,7281
1330,5437,-346,7194
2198,5494,-338,7169
1920,5396,-400,7186
1894,5418,-355,7147
1842,5397,-544,7183
1924,5337,-583,7241
1921,5267,-456,7237
1785,5404,-413,7197
1914,5388,-376,7200
1284,5368,-372,7252
1883,5469,-419,7194
1376,5349,-430,7229
1971,5346,-313,7263
1172,5323,-420,7157
1936,5402,356,7267
1858,5358,-554,7130
1929,5382,-519,7212
1745,5414,-448,7227
1907,5229,-383,7116
1278,4776,-467,7260
1272,4717,-480,7163
2511,5513,-367,7163
1798,5409,-513,7267
1766,4762,-513,7018
1850,5487,-298,7347
1608,5210,-478,7148
1090,5287,-452,7296
1166,5443,-357,7300
1996,5459,-430,7281
1829,5339,-442,7188
1861,5367,-369,7189
2404,5342,-445,7178
1183,5248,-493,7130
2085,5349,-369,7351
2109,5305,-376,7289
1952,4617,-316,7168
2656,4699,-288,7203
2424,5563,-345,7242
2353,5489,-367,7213
1818,4670,-461,7216
1627,5481,-347,7128
1354,5371,-370,7274
2095,5398,-408,7371
2310,5237,-363,7181
1924,5488,-349,7199
2655,5259,-336,7281
2186,5333,-458,7182
1490,4808,-385,7473
2062,5404,-374,7317
2516,5402,-290,7174
1596,5353,-374,7199
2504,5528,-364,7302
1905,5306,-369,7187
2222,5405,-295,7319
2514,5328,-315,7323
1860,5490,-240,7229
1892,5463,-333,7356
1503,5388,-410,7247
2645,5538,-426,7286
1862,5397,-464,7262
2414,5457,-427,7321
1842,5334,-380,7241
1342,5331,-538,7198
1577,5469,-460,7369
2433,5447,-440,7262
2276,5400,-399,7199
1505,5325,-512,7174
2380,5243,-570,7308
2300,5337,-528,7194
2515,5267,-547,7191
1448,5294,-453,7279
2470,5330,-521,7185
1129,5191,-536,7138
2361,5157,-642,7235
1265,5302,-421,7322
1776,4980,-594,7091
1843,5203,-543,6923
2372,5189,-553,7162
2368,5062,-515,7045
1348,5253,-589,7101
2505,5258,-560,7103
1785,5295,-579,7191
2238,5045,-525,7086
2403,5279,-613,7267
2384,5271,-694,7135
1972,5053,-611,7075
2352,5358,-683,7191
1562,5352,-708,7228
2166,4597,-656,7135
1228,4621,-557,7239
1322,5589,-594,7204
1745,4738,-450,7164
2336,5427,-455,7150
1669,5514,-382,7183
2158,5456,-417,7240
2267,5366,-430,7125
2134,5270,-406,7131
2446,5220,-490,7234
1927,5385,-443,7334
2260,5390,-441,7399
1510,5306,-488,7357
2398,5193,-458,7253
2182,5273,-391,7350
