-6473,-6875,-1380,-4707
-6519,-6992,-1453,-4841
-6498,-7068,-1416,-4726
-6589,-6944,-1382,-4665
-6437,-6883,-1182,-4521
-6296,-6913,-1239,-4725
-6440,-7009,-1266,-4837
-6449,-7045,-1355,-4713
-6520,-7068,-1354,-4716
-6554,-7100,-1355,-4856
-6503,-7068,-1320,-4731
-6709,-7180,-1424,-4690
-6634,-6985,-1433,-4675
-7321,-7136,-1335,-4510
-6766,-6873,-1268,-4588
-6694,-7082,-1356,-4648
-6584,-6957,-1134,-4829
-6631,-6955,-1201,-4758
-7381,-7275,-1150,-4731
-7332,-7139,-1292,-4849
-7190,-7004,-1115,-4623
-6501,-7049,-1066,-4451
-6488,-7078,-1126,-4871
-6626,-7093,-1125,-4798
-6656,-7046,-942,-4924
-6654,-7727,-899,-4691
-6725,-7828,-1066,-4661
-6547,-7794,-1238,-4694
-6588,-7624,-1217,-4749
-6723,-6875,-1099,-4771
-6656,-6975,-1100,-4842
-7214,-6961,-882,-4656
-6745,-6997,-990,-4887
-7243,-6896,-956,-4911
-6519,-7077,-1154,-4723
-6543,-7684,-1240,-4800
-6590,-6938,-1143,-4659
-6676,-7050,-1219,-4920
-7227,-6918,-1180,-4682
-6574,-7036,-975,-4718
-6763,-6920,-1141,-4896
-7203,-7012,-964,-4672
-6588,-6911,-1150,-4743
-6404,-7237,-843,-4912
-6599,-7088,-981,-4837
-6703,-7058,-1019,-4776
-6645,-6992,-966,-4874
-7124,-6902,-1201,-4727
-6574,-6982,-1257,-4794
-7326,-7055,-1110,-4852
-7307,-7130,-1098,-4787
-6645,-6972,-1008,-4736
-7055,-7855,-1009,-4840
-7224,-6941,-881,-4854
-6446,-6913,-853,-4793
-7166,-7692,-1009,-4770
-7147,-7694,-918,-4841
-7073,-7104,-1106,-4857
-7029,-6898,-1014,-4937
-7094,-7003,-1067,-4871
-6309,-6971,-1110,-4797
-6332,-6986,-1143,-4786
-6560,-7029,-479,-4885
-6561,-7189,-1090,-4866
-6482,-6996,-1064,-4788
-6737,-7042,-1000,-4823
-7244,-7045,-1203,-4809
-6468,-7101,-1002,-4830
-6595,-7146,-1068,-4870
-6599,-7048,-1011,-4927
-6745,-7121,-900,-4730
-6577,-7112,-976,-4884
-6600,-7096,-894,-4952
-7300,-7250,-935,-4891
-6531,-7148,-1021,-5043
-6785,-7055,-1058,-4845
-6666,-7100,-1085,-4948
-6662,-7128,-1132,-4801
-7001,-7111,-957,-4917
-6697,-7023,-821,-4755
-6679,-7087,-970,-4818
-6862,-7089,-916,-4868
-6618,-7022,-948,-4913
-6578,-6986,-974,-4978
-6695,-7130,-1095,-4821
-6599,-6994,-937,-4817
-6638,-7144,-986,-4878
-7362,-7164,-1075,-4892
-7223,-7052,-952,-4848
-7244,-6985,-955,-4794
-7191,-7258,-372,-4826
-6492,-7071,-971,-4896
-7178,-7123,-962,-4854
-7205,-7013,-857,-4739
-6586,-7105,-921,-4863
-6584,-7028,-865,-4695
-6435,-6994,-1020,-4954
-6636,-7018,-965,-4937
-6620,-6999,-938,-4735
-6762,-7088,-854,-4731
-6708,-7759,-911,-4822
-7317,-6952,-906,-4859
-6611,-7013,-860,-4827
-6579,-6936,-823,-4881
-6734,-7090,-855,-4917
-6741,-7012,-789,-4909
-7240,-7190,-975,-4869
-7301,-7022,-816,-4842
-7126,-7288,-880,-4858
-7172,-7038,-142,-4864
-6530,-7030,-243,-4853
-6538,-7087,-1189,-4950
-6656,-7025,-1237,-4986
-6711,-7033,-1308,-4927
-7377,-7107,-1214,-4822
-6716,-7112,-1069,-4849
-6827,-7198,-1154,-5007
